Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"13","Unassigned","Aakash Exploration Services Limited","N/A","No","No","No","7.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aakash_Exploration_Services_Limited/screenshots/Aakash_Exploration_Services_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aakash Exploration Services Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"14","Unassigned","Aarey Drugs & Pharmaceuticals Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarey_Drugs___Pharmaceuticals_Limited/screenshots/Aarey_Drugs___Pharmaceuticals_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarey Drugs & Pharmaceuticals Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"15","Unassigned","Aarnav Fashions Limited","N/A","No","No","No","7.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarnav_Fashions_Limited/screenshots/Aarnav_Fashions_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarnav Fashions Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"16","Unassigned","Aaron Industries Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aaron_Industries_Limited/screenshots/Aaron_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aaron Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"17","Unassigned","Aartech Solonics Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aartech_Solonics_Limited/screenshots/Aartech_Solonics_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aartech Solonics Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"18","Unassigned","Aarti Drugs Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarti_Drugs_Limited/screenshots/Aarti_Drugs_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarti Drugs Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"19","Unassigned","Aarti Industries Limited","N/A","No","No","No","3.9 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarti_Industries_Limited/screenshots/Aarti_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarti Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"20","Unassigned","Aarti Pharmalabs Limited","N/A","No","No","No","6.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarti_Pharmalabs_Limited/screenshots/Aarti_Pharmalabs_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarti Pharmalabs Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"21","Unassigned","Aarti Surfactants Limited","N/A","No","No","No","7.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarti_Surfactants_Limited/screenshots/Aarti_Surfactants_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarti Surfactants Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"22","Unassigned","Aarvi Encon Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aarvi_Encon_Limited/screenshots/Aarvi_Encon_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aarvi Encon Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"23","Unassigned","Aastha Spintex Limited","N/A","No","No","No","5.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aastha_Spintex_Limited/screenshots/Aastha_Spintex_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aastha Spintex Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"24","Unassigned","Aavas Financiers Limited","N/A","No","No","No","1.5 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aavas_Financiers_Limited/screenshots/Aavas_Financiers_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aavas Financiers Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"25","Unassigned","Aban Offshore Limited","N/A","No","No","No","5.5 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aban_Offshore_Limited/screenshots/Aban_Offshore_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aban Offshore Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"26","Unassigned","Abans Enterprises Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Abans_Enterprises_Limited/screenshots/Abans_Enterprises_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Abans Enterprises Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"27","Unassigned","ABB India Limited","N/A","No","No","No","5.7 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ABB_India_Limited/screenshots/ABB_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ABB India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"28","Unassigned","Abbott India Limited","N/A","No","No","No","7.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Abbott_India_Limited/screenshots/Abbott_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Abbott India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"29","Unassigned","Aditya Birla Capital Limited","N/A","No","No","No","3.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aditya_Birla_Capital_Limited/screenshots/Aditya_Birla_Capital_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aditya Birla Capital Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"30","Unassigned","A B Cotspin India Limited","N/A","No","No","No","6.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/A_B_Cotspin_India_Limited/screenshots/A_B_Cotspin_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (A B Cotspin India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"31","Unassigned","Allied Blenders and Distillers Limited","N/A","No","No","No","1.5 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Allied_Blenders_and_Distillers_Limited/screenshots/Allied_Blenders_and_Distillers_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Allied Blenders and Distillers Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"32","Unassigned","Aditya Birla Fashion and Retail Limited","N/A","No","No","No","3.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aditya_Birla_Fashion_and_Retail_Limited/screenshots/Aditya_Birla_Fashion_and_Retail_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aditya Birla Fashion and Retail Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"33","Unassigned","A B Infrabuild Limited","N/A","No","No","No","4.9 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/A_B_Infrabuild_Limited/screenshots/A_B_Infrabuild_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (A B Infrabuild Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"34","Unassigned","Aditya Birla Lifestyle Brands Limited","N/A","No","No","No","3.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aditya_Birla_Lifestyle_Brands_Limited/screenshots/Aditya_Birla_Lifestyle_Brands_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aditya Birla Lifestyle Brands Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"35","Unassigned","ABM International Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ABM_International_Limited/screenshots/ABM_International_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ABM International Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"36","Unassigned","ABM Knowledgeware Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ABM_Knowledgeware_Limited/screenshots/ABM_Knowledgeware_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ABM Knowledgeware Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"37","Unassigned","Aditya Birla Real Estate Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aditya_Birla_Real_Estate_Limited/screenshots/Aditya_Birla_Real_Estate_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aditya Birla Real Estate Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"38","Unassigned","Aditya Birla Sun Life AMC Limited","N/A","No","No","No","7.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Aditya_Birla_Sun_Life_AMC_Limited/screenshots/Aditya_Birla_Sun_Life_AMC_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Aditya Birla Sun Life AMC Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"39","Unassigned","ACC Limited","N/A","No","No","No","4.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ACC_Limited/screenshots/ACC_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ACC Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"40","Unassigned","Accelya Solutions India Limited","N/A","No","No","No","4.7 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Accelya_Solutions_India_Limited/screenshots/Accelya_Solutions_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Accelya Solutions India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"41","Unassigned","Accuracy Shipping Limited","N/A","No","No","No","2.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Accuracy_Shipping_Limited/screenshots/Accuracy_Shipping_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Accuracy Shipping Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
