[2026-08-10T13:17:16.874Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.906Z] COMPANY: "Aaron Industries Limited" | QUERIES: ["Aaron Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.908Z] COMPANY: "Aartech Solonics Limited" | QUERIES: ["Aartech Solonics Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.910Z] COMPANY: "Aarti Drugs Limited" | QUERIES: ["Aarti Drugs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.911Z] COMPANY: "Aarti Industries Limited" | QUERIES: ["Aarti Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.914Z] COMPANY: "Aarti Pharmalabs Limited" | QUERIES: ["Aarti Pharmalabs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.914Z] COMPANY: "Aarti Surfactants Limited" | QUERIES: ["Aarti Surfactants Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.917Z] COMPANY: "Aarvi Encon Limited" | QUERIES: ["Aarvi Encon Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.918Z] COMPANY: "Aastha Spintex Limited" | QUERIES: ["Aastha Spintex Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.921Z] COMPANY: "Aavas Financiers Limited" | QUERIES: ["Aavas Financiers Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.921Z] COMPANY: "Aban Offshore Limited" | QUERIES: ["Aban Offshore Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.922Z] COMPANY: "Abans Enterprises Limited" | QUERIES: ["Abans Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.923Z] COMPANY: "ABB India Limited" | QUERIES: ["ABB India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.926Z] COMPANY: "Abbott India Limited" | QUERIES: ["Abbott India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.928Z] COMPANY: "Aditya Birla Capital Limited" | QUERIES: ["Aditya Birla Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.929Z] COMPANY: "A B Cotspin India Limited" | QUERIES: ["A B Cotspin India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.931Z] COMPANY: "Allied Blenders and Distillers Limited" | QUERIES: ["Allied Blenders and Distillers Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.931Z] COMPANY: "Aditya Birla Fashion and Retail Limited" | QUERIES: ["Aditya Birla Fashion and Retail Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.934Z] COMPANY: "A B Infrabuild Limited" | QUERIES: ["A B Infrabuild Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.935Z] COMPANY: "Aditya Birla Lifestyle Brands Limited" | QUERIES: ["Aditya Birla Lifestyle Brands Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.938Z] COMPANY: "ABM International Limited" | QUERIES: ["ABM International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.938Z] COMPANY: "ABM Knowledgeware Limited" | QUERIES: ["ABM Knowledgeware Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.942Z] COMPANY: "Aditya Birla Real Estate Limited" | QUERIES: ["Aditya Birla Real Estate Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.942Z] COMPANY: "Aditya Birla Sun Life AMC Limited" | QUERIES: ["Aditya Birla Sun Life AMC Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.944Z] COMPANY: "ACC Limited" | QUERIES: ["ACC Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.947Z] COMPANY: "Accelya Solutions India Limited" | QUERIES: ["Accelya Solutions India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.948Z] COMPANY: "Accuracy Shipping Limited" | QUERIES: ["Accuracy Shipping Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.951Z] COMPANY: "Action Construction Equipment Limited" | QUERIES: ["Action Construction Equipment Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.952Z] COMPANY: "Ace Integrated Solutions Limited" | QUERIES: ["Ace Integrated Solutions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.955Z] COMPANY: "Archean Chemical Industries Limited" | QUERIES: ["Archean Chemical Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.956Z] COMPANY: "Andhra Cements Limited" | QUERIES: ["Andhra Cements Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.957Z] COMPANY: "Acme Solar Holdings Limited" | QUERIES: ["Acme Solar Holdings Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.960Z] COMPANY: "ACS Technologies Limited" | QUERIES: ["ACS Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.960Z] COMPANY: "Acutaas Chemicals Limited" | QUERIES: ["Acutaas Chemicals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.963Z] COMPANY: "Adani Energy Solutions Limited" | QUERIES: ["Adani Energy Solutions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.965Z] COMPANY: "Adani Enterprises Limited" | QUERIES: ["Adani Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.965Z] COMPANY: "Adani Green Energy Limited" | QUERIES: ["Adani Green Energy Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.968Z] COMPANY: "Adani Ports and Special Economic Zone Limited" | QUERIES: ["Adani Ports and Special Economic Zone Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.969Z] COMPANY: "Adani Power Limited" | QUERIES: ["Adani Power Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.970Z] COMPANY: "ADF Foods Limited" | QUERIES: ["ADF Foods Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.974Z] COMPANY: "Archidply Decor Limited" | QUERIES: ["Archidply Decor Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.975Z] COMPANY: "Ador Welding Limited" | QUERIES: ["Ador Welding Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.976Z] COMPANY: "Adroit Infotech Limited" | QUERIES: ["Adroit Infotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.980Z] COMPANY: "Allied Digital Services Limited" | QUERIES: ["Allied Digital Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.981Z] COMPANY: "Advait Energy Transitions Limited" | QUERIES: ["Advait Energy Transitions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.983Z] COMPANY: "Advance Agrolife Limited" | QUERIES: ["Advance Agrolife Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.986Z] COMPANY: "Advani Hotels & Resorts (India) Limited" | QUERIES: ["Advani Hotels & Resorts (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.987Z] COMPANY: "Advent Hotels International Limited" | QUERIES: ["Advent Hotels International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.988Z] COMPANY: "Advanced Enzyme Technologies Limited" | QUERIES: ["Advanced Enzyme Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.989Z] COMPANY: "Aegis Logistics Limited" | QUERIES: ["Aegis Logistics Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.991Z] COMPANY: "Aegis Vopak Terminals Limited" | QUERIES: ["Aegis Vopak Terminals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.994Z] COMPANY: "Artemis Electricals and Projects Limited" | QUERIES: ["Artemis Electricals and Projects Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.997Z] COMPANY: "Aequs Limited" | QUERIES: ["Aequs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.997Z] COMPANY: "Aeroflex Enterprises Limited" | QUERIES: ["Aeroflex Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.999Z] COMPANY: "Aeroflex Industries Limited" | QUERIES: ["Aeroflex Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.002Z] COMPANY: "Aeroflex Neu Limited" | QUERIES: ["Aeroflex Neu Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.007Z] COMPANY: "Amir Chand Jagdish Kumar (Exports) Limited" | QUERIES: ["Amir Chand Jagdish Kumar (Exports) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 2ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.010Z] COMPANY: "Aether Industries Limited" | QUERIES: ["Aether Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.012Z] COMPANY: "Afcons Infrastructure Limited" | QUERIES: ["Afcons Infrastructure Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.015Z] COMPANY: "Affle 3i Limited" | QUERIES: ["Affle 3i Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.018Z] COMPANY: "Affordable Robotic & Automation Limited" | QUERIES: ["Affordable Robotic & Automation Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.020Z] COMPANY: "Akme Fintrade (India) Limited" | QUERIES: ["Akme Fintrade (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.023Z] COMPANY: "Abans Financial Services Limited" | QUERIES: ["Abans Financial Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 2ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.024Z] COMPANY: "Agarwal Industrial Corporation Limited" | QUERIES: ["Agarwal Industrial Corporation Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.025Z] COMPANY: "Dr. Agarwal's Health Care Limited" | QUERIES: ["Dr. Agarwal's Health Care Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.028Z] COMPANY: "AGI Greenpac Limited" | QUERIES: ["AGI Greenpac Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.030Z] COMPANY: "Agi Infra Limited" | QUERIES: ["Agi Infra Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.033Z] COMPANY: "Allcargo Global Limited" | QUERIES: ["Allcargo Global Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 3ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.034Z] COMPANY: "Agri-Tech (India) Limited" | QUERIES: ["Agri-Tech (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.035Z] COMPANY: "Agro Phos India Limited" | QUERIES: ["Agro Phos India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.036Z] COMPANY: "Anlon Healthcare Limited" | QUERIES: ["Anlon Healthcare Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.039Z] COMPANY: "Ahlada Engineers Limited" | QUERIES: ["Ahlada Engineers Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.040Z] COMPANY: "Asian Hotels (East) Limited" | QUERIES: ["Asian Hotels (East) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.046Z] COMPANY: "Ahluwalia Contracts (India) Limited" | QUERIES: ["Ahluwalia Contracts (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.051Z] COMPANY: "Asian Hotels (West) Limited" | QUERIES: ["Asian Hotels (West) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.052Z] COMPANY: "AIA Engineering Limited" | QUERIES: ["AIA Engineering Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.053Z] COMPANY: "Authum Investment & Infrastructure Limited" | QUERIES: ["Authum Investment & Infrastructure Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.055Z] COMPANY: "Airan Limited" | QUERIES: ["Airan Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.056Z] COMPANY: "Airo Lam limited" | QUERIES: ["Airo Lam limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.058Z] COMPANY: "Ajanta Pharma Limited" | QUERIES: ["Ajanta Pharma Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.059Z] COMPANY: "Ajax Engineering Limited" | QUERIES: ["Ajax Engineering Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.060Z] COMPANY: "Ajmera Realty & Infra India Limited" | QUERIES: ["Ajmera Realty & Infra India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.061Z] COMPANY: "Ajooni Biotech Limited" | QUERIES: ["Ajooni Biotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.062Z] COMPANY: "Akash Infra-Projects Limited" | QUERIES: ["Akash Infra-Projects Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.064Z] COMPANY: "AK Capital Services Limited" | QUERIES: ["AK Capital Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.066Z] COMPANY: "Akg Exim Limited" | QUERIES: ["Akg Exim Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.067Z] COMPANY: "AKI India Limited" | QUERIES: ["AKI India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.070Z] COMPANY: "Akshar Spintex Limited" | QUERIES: ["Akshar Spintex Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.071Z] COMPANY: "AksharChem India Limited" | QUERIES: ["AksharChem India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.074Z] COMPANY: "Aksh Optifibre Limited" | QUERIES: ["Aksh Optifibre Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.075Z] COMPANY: "Akums Drugs and Pharmaceuticals Limited" | QUERIES: ["Akums Drugs and Pharmaceuticals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.078Z] COMPANY: "Alankit Limited" | QUERIES: ["Alankit Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.079Z] COMPANY: "Albert David Limited" | QUERIES: ["Albert David Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.082Z] COMPANY: "Alembic Limited" | QUERIES: ["Alembic Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.083Z] COMPANY: "Algoquant Fintech Limited" | QUERIES: ["Algoquant Fintech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.086Z] COMPANY: "Alicon Castalloy Limited" | QUERIES: ["Alicon Castalloy Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.086Z] COMPANY: "Alivus Life Sciences Limited" | QUERIES: ["Alivus Life Sciences Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:17.087Z] COMPANY: "Alkali Metals Limited" | QUERIES: ["Alkali Metals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
