[2026-08-10T13:18:02.847Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://20micronsglobal.com/] | SELECTED: "https://20micronsglobal.com/" | CONFIDENCE: HIGH | TIME: 2677ms | REASON: Resolved via self-search
[2026-08-10T13:18:42.864Z] COMPANY: "A B Infrabuild Limited" | QUERIES: ["A B Infrabuild Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1564ms | REASON: Resolved via self-search
[2026-08-10T13:18:44.439Z] COMPANY: "Aditya Birla Lifestyle Brands Limited" | QUERIES: ["Aditya Birla Lifestyle Brands Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1574ms | REASON: Resolved via self-search
[2026-08-10T13:18:46.014Z] COMPANY: "ABM International Limited" | QUERIES: ["ABM International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1574ms | REASON: Resolved via self-search
[2026-08-10T13:18:47.585Z] COMPANY: "ABM Knowledgeware Limited" | QUERIES: ["ABM Knowledgeware Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-10T13:18:49.157Z] COMPANY: "Aditya Birla Real Estate Limited" | QUERIES: ["Aditya Birla Real Estate Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-10T13:18:50.722Z] COMPANY: "Aditya Birla Sun Life AMC Limited" | QUERIES: ["Aditya Birla Sun Life AMC Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1562ms | REASON: Resolved via self-search
[2026-08-10T13:18:52.299Z] COMPANY: "ACC Limited" | QUERIES: ["ACC Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-10T13:18:53.890Z] COMPANY: "Accelya Solutions India Limited" | QUERIES: ["Accelya Solutions India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1590ms | REASON: Resolved via self-search
[2026-08-10T13:18:55.453Z] COMPANY: "Accuracy Shipping Limited" | QUERIES: ["Accuracy Shipping Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1562ms | REASON: Resolved via self-search
[2026-08-10T13:18:57.019Z] COMPANY: "Action Construction Equipment Limited" | QUERIES: ["Action Construction Equipment Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1564ms | REASON: Resolved via self-search
[2026-08-10T13:18:58.590Z] COMPANY: "Ace Integrated Solutions Limited" | QUERIES: ["Ace Integrated Solutions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-10T13:19:00.159Z] COMPANY: "Archean Chemical Industries Limited" | QUERIES: ["Archean Chemical Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1568ms | REASON: Resolved via self-search
[2026-08-10T13:19:01.729Z] COMPANY: "Andhra Cements Limited" | QUERIES: ["Andhra Cements Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-10T13:19:03.296Z] COMPANY: "Acme Solar Holdings Limited" | QUERIES: ["Acme Solar Holdings Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1566ms | REASON: Resolved via self-search
[2026-08-10T13:19:04.865Z] COMPANY: "ACS Technologies Limited" | QUERIES: ["ACS Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1565ms | REASON: Resolved via self-search
[2026-08-10T13:19:06.437Z] COMPANY: "Acutaas Chemicals Limited" | QUERIES: ["Acutaas Chemicals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1564ms | REASON: Resolved via self-search
[2026-08-10T13:19:08.011Z] COMPANY: "Adani Energy Solutions Limited" | QUERIES: ["Adani Energy Solutions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1573ms | REASON: Resolved via self-search
[2026-08-10T13:19:09.583Z] COMPANY: "Adani Enterprises Limited" | QUERIES: ["Adani Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-10T13:19:11.158Z] COMPANY: "Adani Green Energy Limited" | QUERIES: ["Adani Green Energy Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-10T13:19:12.723Z] COMPANY: "Adani Ports and Special Economic Zone Limited" | QUERIES: ["Adani Ports and Special Economic Zone Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1563ms | REASON: Resolved via self-search
[2026-08-10T13:19:14.291Z] COMPANY: "Adani Power Limited" | QUERIES: ["Adani Power Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1566ms | REASON: Resolved via self-search
[2026-08-10T13:19:15.864Z] COMPANY: "ADF Foods Limited" | QUERIES: ["ADF Foods Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1568ms | REASON: Resolved via self-search
[2026-08-10T13:19:17.430Z] COMPANY: "Archidply Decor Limited" | QUERIES: ["Archidply Decor Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1566ms | REASON: Resolved via self-search
[2026-08-10T13:19:19.001Z] COMPANY: "Ador Welding Limited" | QUERIES: ["Ador Welding Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-10T13:19:20.567Z] COMPANY: "Adroit Infotech Limited" | QUERIES: ["Adroit Infotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1565ms | REASON: Resolved via self-search
[2026-08-10T13:19:22.135Z] COMPANY: "Allied Digital Services Limited" | QUERIES: ["Allied Digital Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:19:23.712Z] COMPANY: "Advait Energy Transitions Limited" | QUERIES: ["Advait Energy Transitions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1573ms | REASON: Resolved via self-search
[2026-08-10T13:19:25.325Z] COMPANY: "Advance Agrolife Limited" | QUERIES: ["Advance Agrolife Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1611ms | REASON: Resolved via self-search
[2026-08-10T13:19:26.902Z] COMPANY: "Advani Hotels & Resorts (India) Limited" | QUERIES: ["Advani Hotels & Resorts (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1574ms | REASON: Resolved via self-search
[2026-08-10T13:19:28.480Z] COMPANY: "Advent Hotels International Limited" | QUERIES: ["Advent Hotels International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1577ms | REASON: Resolved via self-search
[2026-08-10T13:19:30.053Z] COMPANY: "Advanced Enzyme Technologies Limited" | QUERIES: ["Advanced Enzyme Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-10T13:19:31.619Z] COMPANY: "Aegis Logistics Limited" | QUERIES: ["Aegis Logistics Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1564ms | REASON: Resolved via self-search
[2026-08-10T13:19:33.190Z] COMPANY: "Aegis Vopak Terminals Limited" | QUERIES: ["Aegis Vopak Terminals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-10T13:19:34.759Z] COMPANY: "Artemis Electricals and Projects Limited" | QUERIES: ["Artemis Electricals and Projects Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1565ms | REASON: Resolved via self-search
[2026-08-10T13:19:36.327Z] COMPANY: "Aequs Limited" | QUERIES: ["Aequs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:19:37.967Z] COMPANY: "Aeroflex Enterprises Limited" | QUERIES: ["Aeroflex Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1639ms | REASON: Resolved via self-search
[2026-08-10T13:19:39.853Z] COMPANY: "Aeroflex Industries Limited" | QUERIES: ["Aeroflex Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1884ms | REASON: Resolved via self-search
[2026-08-10T13:19:41.471Z] COMPANY: "Aeroflex Neu Limited" | QUERIES: ["Aeroflex Neu Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1616ms | REASON: Resolved via self-search
