Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"11","Unassigned","BEML Ltd","https://bemlindia.in","Yes","Yes","Yes","6.3 out of 10","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/BEML_Ltd/screenshots/BEML_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (BEML Ltd)","Company Secretary & Compliance Officer","info@bemlindia.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@bemlindia.in"
"12","Unassigned","Bharat Electronics Ltd","https://beil.co.in","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bharat_Electronics_Ltd/screenshots/Bharat_Electronics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bharat Electronics Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"13","Unassigned","Bhansali Engineering Polymers Ltd","https://bhansaliabs.com","Yes","Yes","Yes","5.8 out of 10","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bhansali_Engineering_Polymers_Ltd/screenshots/Bhansali_Engineering_Polymers_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bhansali Engineering Polymers Ltd)","Company Secretary & Compliance Officer","rnt.helpdesk@in.mpms.mufg.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","Investors@Bhansaliabs.com"
"14","Unassigned","Birla Cable Ltd","https://birlacable.com","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Birla_Cable_Ltd/screenshots/Birla_Cable_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Birla Cable Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","General Contact Email","Managing Director / CEO","Not publicly disclosed"
"15","Unassigned","Blue Star Ltd","https://bluestarindia.com","Yes","Yes","Yes","1 out of 10","64","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Blue_Star_Ltd/screenshots/Blue_Star_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Blue Star Ltd)","Company Secretary & Compliance Officer","investors@bluestarindia.com","General Contact Email","Managing Director / CEO","investors@bluestarindia.com"
"16","Unassigned","Disa India Ltd","https://disa-india.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Disa_India_Ltd/screenshots/Disa_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Disa India Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"17","Unassigned","BPL Ltd","https://bpl.org","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/BPL_Ltd/screenshots/BPL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (BPL Ltd)","Company Secretary & Compliance Officer","info@bpl.org","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@bpl.org"
"18","Unassigned","Oriental Aromatics Ltd","https://orientalaromatics.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Oriental_Aromatics_Ltd/screenshots/Oriental_Aromatics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Oriental Aromatics Ltd)","Company Secretary & Compliance Officer","info@orientalaromatics.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","cs@orientalaromatics.com"
"19","Unassigned","Century Extrusions Ltd","https://centuryextrusions.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Century_Extrusions_Ltd/screenshots/Century_Extrusions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Century Extrusions Ltd)","Company Secretary & Compliance Officer","enquiry@centuryextrusions.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","info@centuryextrusions.com"
"20","Unassigned","CESC Ltd","https://cesc.co.in","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/CESC_Ltd/screenshots/CESC_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (CESC Ltd)","Company Secretary & Compliance Officer","info@cesc.co.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@cesc.co.in"
"21","Unassigned","Chambal Fertilisers & Chemicals Ltd","https://chambalfertilisers.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Chambal_Fertilisers___Chemicals_Ltd/screenshots/Chambal_Fertilisers___Chemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Chambal Fertilisers & Chemicals Ltd)","Company Secretary & Compliance Officer","einward.ris@Kfintech.com","General Contact Email","Managing Director / CEO","einward.ris@Kfintech.com"
"22","Unassigned","Exide Industries Ltd","https://exideindustries.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Exide_Industries_Ltd/screenshots/Exide_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Exide Industries Ltd)","Company Secretary & Compliance Officer","info@exideindustries.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@exideindustries.com"
"23","Unassigned","Cipla Ltd","https://cipla.com","Yes","Yes","Yes","1 out of 10","14","44","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Cipla_Ltd/screenshots/Cipla_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Cipla Ltd)","Company Secretary & Compliance Officer","info@cipla.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@cipla.com"
"24","Unassigned","DIC India Ltd","https://dicindialtd.co","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/DIC_India_Ltd/screenshots/DIC_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (DIC India Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"25","Unassigned","Crisil Ltd","https://crisil.com","Yes","Yes","Yes","1 out of 10","22","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Crisil_Ltd/screenshots/Crisil_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Crisil Ltd)","Company Secretary & Compliance Officer","info@crisil.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@crisil.com"
"26","Unassigned","CG Power and Industrial Solutions Ltd","https://cgglobal.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/CG_Power_and_Industrial_Solutions_Ltd/screenshots/CG_Power_and_Industrial_Solutions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (CG Power and Industrial Solutions Ltd)","Company Secretary & Compliance Officer","info@cgglobal.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@cgglobal.com"
"27","Unassigned","Dabur India Ltd","https://dabur.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Dabur_India_Ltd/screenshots/Dabur_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Dabur India Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"28","Unassigned","Arvind Ltd","https://arvind.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Arvind_Ltd/screenshots/Arvind_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Arvind Ltd)","Company Secretary & Compliance Officer","info@arvind.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@arvind.com"
"29","Unassigned","Bharat Heavy Electricals Ltd","https://bhel.com","Yes","Yes","Yes","5.8 out of 10","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bharat_Heavy_Electricals_Ltd/screenshots/Bharat_Heavy_Electricals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bharat Heavy Electricals Ltd)","Company Secretary & Compliance Officer","investor@bigshareonline.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investor@bigshareonline.com"
"30","Unassigned","Hindustan Petroleum Corporation Ltd","https://hindustanpetroleum.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Hindustan_Petroleum_Corporation_Ltd/screenshots/Hindustan_Petroleum_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Petroleum Corporation Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"31","Unassigned","IFCI Ltd","https://ifciltd.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/IFCI_Ltd/screenshots/IFCI_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (IFCI Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"32","Unassigned","Mangalore Refinery and Petrochemicals Ltd","https://mrpl.co.in","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Mangalore_Refinery_and_Petrochemicals_Ltd/screenshots/Mangalore_Refinery_and_Petrochemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mangalore Refinery and Petrochemicals Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"33","Unassigned","State Bank of India","https://onlinesbi.sbi","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/State_Bank_of_India/screenshots/State_Bank_of_India_Homepage_WAVE_Overlay.png)","Company Secretary (State Bank of India)","Company Secretary & Compliance Officer","info@onlinesbi.sbi","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@onlinesbi.sbi"
"34","Unassigned","Steel Authority of India Ltd","https://sail.co.in","Yes","Yes","Yes","1 out of 10","22","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Steel_Authority_of_India_Ltd/screenshots/Steel_Authority_of_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Steel Authority of India Ltd)","Company Secretary & Compliance Officer","info@sail.co.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@sail.co.in"
"35","Unassigned","Titan Company Ltd","https://titancompany.in","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Titan_Company_Ltd/screenshots/Titan_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Titan Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"36","Unassigned","IDBI Bank Ltd","https://idbibank.in","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/IDBI_Bank_Ltd/screenshots/IDBI_Bank_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (IDBI Bank Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"37","Unassigned","DCW Ltd","https://dcwltd.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/DCW_Ltd/screenshots/DCW_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (DCW Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"38","Unassigned","Dhampur Sugar Mills Ltd","https://dhampursugar.com","Yes","Yes","Yes","1 out of 10","16","36","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Dhampur_Sugar_Mills_Ltd/screenshots/Dhampur_Sugar_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Dhampur Sugar Mills Ltd)","Company Secretary & Compliance Officer","gaurav.kadnurrao@schbang.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","aparnagoel@dhampursugar.com"
"39","Unassigned","Dr Reddys Laboratories Ltd","https://drreddys.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Dr_Reddys_Laboratories_Ltd/screenshots/Dr_Reddys_Laboratories_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Dr Reddys Laboratories Ltd)","Company Secretary & Compliance Officer","info@drreddys.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@drreddys.com"
"40","Unassigned","EID Parry India Ltd","https://eidparry.com","Yes","Yes","Yes","1 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/EID_Parry_India_Ltd/screenshots/EID_Parry_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (EID Parry India Ltd)","Company Secretary & Compliance Officer","info@eidparry.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@eidparry.com"
"41","Unassigned","Procter & Gamble Health Ltd","https://pg.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Procter___Gamble_Health_Ltd/screenshots/Procter___Gamble_Health_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Procter & Gamble Health Ltd)","Company Secretary & Compliance Officer","info@pg.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pg.com"
"42","Unassigned","EPL Ltd","https://eplglobal.com","Yes","Yes","Yes","1 out of 10","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/EPL_Ltd/screenshots/EPL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (EPL Ltd)","Company Secretary & Compliance Officer","info@eplglobal.com","General Contact Email","Managing Director / CEO","info@eplglobal.com"
"43","Unassigned","Ester Industries Ltd","https://ester.co","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Ester_Industries_Ltd/screenshots/Ester_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ester Industries Ltd)","Company Secretary & Compliance Officer","info@ester.co","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@ester.co"
"44","Unassigned","FGP Ltd","https://fgpltd.co.uk","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/FGP_Ltd/screenshots/FGP_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (FGP Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"45","Unassigned","PH Capital Ltd","https://phoenix.edu","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/PH_Capital_Ltd/screenshots/PH_Capital_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (PH Capital Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"46","Unassigned","John Cockerill India Ltd","https://johncockerillindia.com","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/John_Cockerill_India_Ltd/screenshots/John_Cockerill_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (John Cockerill India Ltd)","Company Secretary & Compliance Officer","india@johncockerill.com","General Contact Email","Managing Director / CEO","india@johncockerill.com"
"47","Unassigned","Uflex Ltd","https://uflexltd.com","Yes","Yes","Yes","1 out of 10","53","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Uflex_Ltd/screenshots/Uflex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Uflex Ltd)","Company Secretary & Compliance Officer","enquiry@uflexltd.com","General Contact Email","Managing Director / CEO","enquiry@uflexltd.com"
"48","Unassigned","Foseco India Ltd","https://fosecoindia.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Foseco_India_Ltd/screenshots/Foseco_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Foseco India Ltd)","Company Secretary & Compliance Officer","info@fosecoindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@fosecoindia.com"
"49","Unassigned","Golden Tobacco Ltd","https://goldentobacco.in","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Golden_Tobacco_Ltd/screenshots/Golden_Tobacco_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Golden Tobacco Ltd)","Company Secretary & Compliance Officer","info@goldentobacco.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@goldentobacco.in"
"50","Unassigned","Ganesh Benzoplast Ltd","https://ganeshbenzoplast.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Ganesh_Benzoplast_Ltd/screenshots/Ganesh_Benzoplast_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ganesh Benzoplast Ltd)","Company Secretary & Compliance Officer","info@gblinfra.com","General Contact Email","Managing Director / CEO","info@gblinfra.com"
"51","Unassigned","Metroglobal Ltd","https://metrogloballimited.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Metroglobal_Ltd/screenshots/Metroglobal_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Metroglobal Ltd)","Company Secretary & Compliance Officer","info@metrogloballimited.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@metrogloballimited.com"
"52","Unassigned","GTL Ltd","https://gtlaw.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/GTL_Ltd/screenshots/GTL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GTL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"53","Unassigned","Godrej Industries Ltd","https://godrej.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Godrej_Industries_Ltd/screenshots/Godrej_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Godrej Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"54","Unassigned","Kansai Nerolac Paints Ltd","https://nerolacbd.com","Yes","Yes","Yes","1 out of 10","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kansai_Nerolac_Paints_Ltd/screenshots/Kansai_Nerolac_Paints_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kansai Nerolac Paints Ltd)","Company Secretary & Compliance Officer","info@nerolacbd.com","General Contact Email","Managing Director / CEO","info@nerolacbd.com"
"55","Unassigned","Goodricke Group Ltd","https://goodricketea.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Goodricke_Group_Ltd/screenshots/Goodricke_Group_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Goodricke Group Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
